,Candidate_ID,Cluster_ID,Donor,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Count
6,1,153.0,TWU LOCAL 100 POLITICAL CONTRIBUTIONS COMMITEE,2500.0,500.0,1666.666666666667,5000.0,3
9,1,164.0,32BJ UNITED ADF,5000.0,500.0,2750.0,5500.0,2
10,1,165.0,LOCAL 6 COMMITEE ON POLITICAL EDUCATION,7000.0,7000.0,7000.0,7000.0,1
13,1,188.0,LAWPAC OF NEW YORK,9000.0,1000.0,2600.0,13000.0,5
14,1,196.0,1199 SEIU 32/ NYS POLITICAL,7000.0,3000.0,5666.666666666668,17000.0,3
28,1,523.0,RPAC OF NYS,500.0,500.0,500.0,1500.0,3
35,1,793.0,TEACHERS FOR EDUCATION/COMMITEE ON POLITICAL EDU,2500.0,1000.0,1750.0,3500.0,2
293,2,117.0,MASON TENDERS DISTRICT COUNCIL OF GREATER NY,7000.0,7000.0,7000.0,7000.0,1
299,2,153.0,TRANSPORT WORKERS UNION LOCAL 100,5500.0,2000.0,4166.666666666667,12500.0,3
303,2,164.0,32BJ UNITED ADF,5000.0,1000.0,2500.0,10000.0,4
304,2,165.0,LOCAL 6 COMMITTEE ON POLITICALEDUCATION,7000.0,1500.0,3625.0,14500.0,4
309,2,188.0,LAWPAC OF NEW YORK,11000.0,1000.0,4500.0,18000.0,4
312,2,196.0,1199 SEIU NYS PAF,11000.0,3000.0,7000.0,14000.0,2
326,2,523.0,RPAC OF NEW YORK STATE,1000.0,1000.0,1000.0,1000.0,1
334,2,793.0,VOICE OF TEACHERS FOR EDUCATION,11000.0,3000.0,7000.0,14000.0,2
337,2,876.0,HTC NON FEDERAL COPE,7000.0,1500.0,3625.0,14500.0,4
1980,3,117.0,MASON TENDERS DISTRICT COUNCIL GREATER NY PAC,6000.0,2500.0,4833.333333333333,29000.0,6
1986,3,142.0,NEW YORK STATE LABORERS PAC - STATE FUND,3500.0,2500.0,3000.0,6000.0,2
1990,3,153.0,TWU LOCAL 100,2500.0,1000.0,2000.0,6000.0,3
1997,3,164.0,32BJ UNITED ADF,5000.0,1000.0,2571.428571428572,18000.0,7
1998,3,165.0,LOCAL 6 COPE,6800.0,1250.0,3841.666666666666,23050.0,6
2005,3,188.0,LAWPAC OF NEW YORK,17300.0,2000.0,4588.88888888889,41300.0,9
2007,3,196.0,1199 SEIU NYS,7500.0,3500.0,4916.666666666667,29500.0,6
2044,3,523.0,RPAC OF NYS,6000.0,1000.0,3437.5,27500.0,8
2088,3,793.0,VOTE/COPE,5000.0,1000.0,2700.0,27000.0,10
2100,3,876.0,NY HOTEL TRADES COUNCIL NON FEDERAL COPE,6800.0,1250.0,3650.0,25550.0,7
2754,4,117.0,MASON TENDERS DISTRICT COUNCIL PAC,7000.0,5000.0,6000.0,12000.0,2
